"NFL","NFL68","bias"
"487","140","53"
"325","43","-64"
"251","234","-15"
"166","154","-127"
"171","30","48"
"258","168","52"
"211","22","26"
"412","103","24"
"130","14","-3341"
"217","190","603"
"357","325","-134"
"123","89","-269"
"257","233","-39"
"114","88","-102"
"319","254","7"
"288","265","-39"
"308","198","-68"
"329","316","-96"
"156","33","-14"
"255","250","322"
"200","162","36"
"124","95","-6"
"181","162","-14"
"107","97","113"
"238","196","-6"
"140","98","11"
"123","33","-21"
"127","116","-79"
"608","248","0"
"307","264","0"
"7304","2357","0"
"578","213","0"
"466","94","0"
"202","20","0"
"179","20","0"
"239","20","0"
"181","156","0"
"100","77","0"
"383","346","0"
"172","131","0"
"467","265","0"
"177","14","0"
"554","152","0"
"211","43","0"
"239","207","0"
"162","88","0"
"553","268","0"
"106","91","0"
"193","175","0"
"105","80","0"
"211","126","1394"
"412","213","94"
"1118","746","-61"
"103","94","-225"
"349","337","110"
"235","43","-36"
"186","173","-54"
"134","111","-5"
"228","196","156"
"782","714","105"
"117","112","-11"
"107","87","-56"
"266","25","-36"
"105","91","-74"
"123","111","-72"
"253","215","-115"
"141","51","166"
"168","151","-12"
"312","299","357"
"402","324","15"
"326","287","-966"
"743","170","72"
"127","108","61"
"175","20","173"
"378","201","-2237"
"174","138","-4"
"291","259","-10"
"237","212","-32"
"209","207","385"
"299","267","-50"
"196","177","-97"
"170","139","-70"
"216","186","-20"
"1235","645","-2312"
"521","92","-20"
"118","72","-29"
"165","127","-36"
"356","56","-5"
"220","179","78"
"175","163","-25"
"1345","1054","549"
"367","360","482"
"129","22","4"
"610","270","276"
"193","174","200"
"147","124","-44"
"511","99","87"
"207","161","-19"
"207","168","-86"
"148","136","-11"
"232","93","-40"
"229","34","-25"
"249","124","59663"
"328","253","-45"
"146","118","16"
"287","45","21"
"127","120","-4"
"161","135","21"
"287","261","-806"
"109","94","169"
"385","91","15"
"277","218","73"
"108","93","-46"
"205","184","-85"
"166","144","8"
"326","274","73"
"232","208","-428"
"237","199","0"
"619","299","0"
"277","229","0"
"314","264","0"
"389","389","-1"
"239","192","0"
"292","258","0"
"424","342","0"
"280","188","0"
"289","212","0"
"361","317","0"
"173","138","0"
"100","80","0"
"100","20","-1"
"772","394","2"
"135","104","0"
"193","180","-1"
"141","121","0"
"450","26","1"
"1152","396","0"
"186","169","0"
"242","238","-1"
"339","53","0"
"304","45","0"
"131","116","0"
"258","22","0"
"149","66","0"
"158","54","-2"
"286","232","0"
"107","36","1"
"154","56","0"
"264","238","0"
"177","148","0"
"376","22","-1"
"133","114","0"
"147","118","0"
"1564","780","0"
"378","347","0"
"163","138","0"
"241","204","0"
"163","141","0"
"313","250","0"
"188","155","0"
"133","115","0"
"163","143","0"
"238","203","0"
"442","371","0"
"406","380","1"
"149","108","0"
"108","89","0"
"224","192","0"
"142","117","0"
"816","218","0"
"342","302","1"
"270","48","0"
"150","136","1"
"245","187","0"
"159","138","0"
"205","20","0"
"147","141","0"
"116","73","0"
"382","118","0"
"181","24","0"
"242","201","0"
"129","103","0"
"2308","1866","1"
"454","81","0"
"119","105","0"
"1123","502","0"
"283","180","0"
"130","44","0"
"281","244","0"
"504","67","0"
"297","261","0"
"160","143","0"
"206","166","0"
"137","109","0"
"178","159","0"
"576","286","0"
"504","134","0"
"311","271","0"
"1403","393","0"
"263","208","0"
"150","34","0"
"191","158","0"
"168","145","0"
"151","132","0"
"214","192","0"
"402","116","0"
"161","122","0"
"254","227","-57"
"238","194","-48"
"100","23","-14"
"127","108","32"
"570","265","-36"
"202","73","52"
"238","162","18"
"1926","837","-597"
"164","21","-47"
"152","118","-144"
"178","156","26"
"1818","1733","335"
"179","155","-149"
"1285","983","102"
"222","172","187"
"237","207","-28"
"200","158","-121"
"370","30","-53"
"366","241","-68"
"113","90","32"
"386","251","-47"
"121","85","140"
"195","173","-258"
"185","141","22"
"111","83","72"
"745","428","76"
"280","40","-52"
"319","129","45"
"436","367","-549"
"131","108","-99"
"313","301","362"
"149","65","-8"
"438","81","11"
"277","246","2"
"374","303","-210"
"420","68","-32"
"319","56","-14"
"344","323","255"
"248","63","-71"
"301","240","105"
"280","16","-3"
"225","202","-6"
"100","69","-23"
"259","230","242"
"450","363","69"
"245","36","-139"
"153","136","337"
"993","97","181"
"119","109","-146"
"232","193","-49"
"260","224","-20"
"254","226","-4"
"316","26","-64"
"297","279","98"
"308","216","63965"
"544","508","-103"
"626","459","-10"
"362","330","-4"
"159","146","297"
"171","122","-299"
"197","164","-6"
"157","136","0"
"482","344","-97"
"235","29","-34"
"201","174","-260"
"129","97","9"
"543","190","-72"
"217","200","26"
"251","212","1"
"116","90","-27"
"411","52","17"
"231","22","183"
"479","304","20"
"186","160","-207"
"196","179","66"
"228","28","802"
"146","116","-109"
"245","226","55"
